heart_rate,mean_hr,mean_rr,median_rr,sdnn,rmssd,sdsd,nn20,nn50,pnn20,pnn50,cvnn,rr_variance,rr_range,lf_power,hf_power,total_power,lf_hf_ratio,lf_nu,hf_nu,peak_frequency,spectral_entropy,psd_mean,psd_std,ecg_wav_energy_L0,ecg_wav_energy_L1,ecg_wav_energy_L2,ecg_wav_energy_L3,ecg_wav_energy_L4,ppg_wav_energy_L0,ppg_wav_energy_L1,ppg_wav_energy_L2,ppg_wav_energy_L3,ppg_wav_energy_L4,ecg_app_entropy,ecg_svd_entropy,ecg_spectral_entropy,ecg_higuchi_fd,ecg_katz_fd,ecg_detrended_fluctuation,ecg_sampen,ecg_perm_entropy,ecg_hjorth_mobility,ecg_hjorth_complexity,ppg_sampen,ppg_perm_entropy,ppg_hjorth_mobility,ppg_hjorth_complexity,ecg_mean,ecg_std,ppg_mean,ppg_std,ppg_min,ppg_max,pulse_rate,pulse_interval_mean,pulse_interval_std,pulse_amplitude,pulse_amplitude_std,ppg_variance,ppg_rms,ppg_skewness,ppg_kurtosis,ppg_iqr,ppg_energy,ppg_dominant_freq,ppg_bandpower,ppg_spectral_entropy,ppg_app_entropy,ppg_svd_entropy,ppg_higuchi_fd,ppg_katz_fd,ppg_dfa,ecg_hjorth_activity,ppg_hjorth_activity,baevsky_index,ecg_sqi,ppg_sqi,subject,label,resp_rate_mean,resp_rate_std,resp_interval_cv,resp_interval_iqr,resp_amplitude_std,resp_amplitude_skew,resp_amplitude_kurtosis
107.191039,107.191039,615.5803571,632.1428571,166.6824497,165.9347768,165.9080619,81,68,0.852631579,0.715789474,0.270772853,27783.03904,610.0,0.003284028,0.007577145,0.010861173,0.433412228,0.302363981,0.697636009,0.0625,4.322899343,0.015895729,0.016973019,397.565484,11.55572261,3.905570974,1.341322418,0.603452049,35956399.95,145708.7209,33354.71539,16662.68079,11653.69661,0.225336822,0.556527744,0.398695359,1.177149673,2.522829516,1.07119773,0.116971999,0.765344533,0.118746787,9.492239742,0.076699601,0.422475995,0.054904971,19.91229667,-0.008014787,0.098997623,-0.187677833,29.19999485,-65.47438161,64.80225834,102.5343259,0.652527473,0.212505011,44.6089589,18.02103778,852.6396991,29.20059798,-0.107652412,-0.55207197,41.76957462,35812346.73,1.3671875,812.7200709,3.389480442,0.111051894,0.32454245,1.025941724,1.983436601,1.259390921,0.009800529,852.6396991,1.14e-05,1.616666667,1.533333333,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
99.83474845,99.83474845,653.1868132,702.8571429,159.0025645,167.4189146,167.4188958,80,63,0.888888889,0.7,0.243425864,25281.81552,575.7142857,0.002027345,0.006425109,0.008452454,0.315534679,0.239852802,0.760147186,0.1875,4.206909171,0.013353417,0.016463693,396.7612373,9.171468314,2.798032445,0.780938234,0.28425333,25128138.13,85272.69637,22954.2703,12466.38744,9918.370467,0.171459497,0.476069932,0.378090996,1.148274946,2.615695439,1.079331938,0.08559485,0.769973673,0.095063235,10.12576069,0.051731745,0.407645739,0.053086776,23.38336462,2.52e-05,0.098773355,-0.430329578,24.40356271,-65.4622127,64.80225834,95.59425785,0.684926108,0.185924191,35.64635775,17.46753837,595.5338732,24.40735661,-0.129254946,-0.164989695,35.01197184,25020200.38,1.3671875,551.9668921,2.989621916,0.074121008,0.316762313,1.014049644,1.855792422,1.308766284,0.009756176,595.5338732,8.38e-06,1.533333333,1.466666667,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
97.39000094,97.39000094,662.5555556,704.2857143,150.1230779,171.5329404,171.5219445,76,57,0.853932584,0.640449438,0.226581872,22536.93852,705.7142857,0.00118819,0.004861967,0.006050157,0.244384586,0.196389917,0.803610066,0.25,4.278386983,0.008971193,0.010044463,398.7153569,9.467129912,2.79249709,0.686088902,0.19642145,22507526.64,55867.15595,20907.22431,11244.32985,5802.274011,0.173862715,0.451892816,0.373417567,1.152648893,2.520099904,1.089745287,0.08757742,0.766679043,0.089193168,9.766483479,0.050826987,0.398444667,0.051051978,24.25390895,0.000967169,0.099003198,-1.073552416,23.15936114,-65.43246324,64.72439549,93.58850174,0.705272109,0.19011888,34.67604732,16.93522748,536.3560084,23.18423005,0.07396927,0.019508256,32.6685635,22575357.98,1.3671875,513.0123175,3.017066052,0.076127104,0.307466906,1.014578905,1.964490407,1.319866353,0.009801633,536.3560084,1.06e-05,1.516666667,1.416666667,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
98.41815722,98.41815722,663.5955056,698.5714286,168.1852246,202.8600581,202.8596521,74,57,0.840909091,0.647727273,0.253445394,28286.26977,952.8571429,0.001800251,0.002492707,0.004292958,0.722207016,0.419349712,0.580650265,0.8125,4.563884657,0.012835526,0.010618713,408.964555,8.957497041,2.788281662,0.739113608,0.32127344,28560043.1,109552.6165,22512.66464,10500.41422,6153.015785,0.179709577,0.473228928,0.376062603,1.156141356,2.494234851,1.092429151,0.08742339,0.771465621,0.094233433,10.35954717,0.057901019,0.39761553,0.049153087,23.1135651,-0.005619581,0.100024399,-1.777798844,26.0785329,-65.38699552,64.7700151,95.24437862,0.731322751,0.25883811,39.6686299,16.98122332,680.089878,26.13905979,0.07171347,-0.297021698,36.15909616,28696518.76,1.3671875,666.7973009,3.028237669,0.091641954,0.298678266,1.021037496,2.059270887,1.302475808,0.01000488,680.089878,7.71e-06,1.5,1.366666667,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
95.3646671,95.3646671,678.262987,730.0,149.2028057,154.0052489,154.0020975,75,45,0.862068966,0.517241379,0.219977809,22261.47722,548.5714286,0.001549429,0.001085134,0.002634564,1.427868393,0.58811606,0.411883902,0.4375,4.23365168,0.01058273,0.012392125,406.8016837,8.84467085,2.398629802,0.679974435,0.249230193,24413179.09,52968.9445,12456.76731,4276.983765,3812.516408,0.166993878,0.453361974,0.37373232,1.158187457,2.467639577,1.101652837,0.081001029,0.781805789,0.089091065,10.58402301,0.050373187,0.401803644,0.040490533,24.32351329,-0.009040736,0.099433337,-1.438149963,24.08800152,-65.45340129,64.7700151,93.38217934,0.743660714,0.265033964,34.33863874,18.0660605,580.2318174,24.13089498,-0.072515258,-0.053192134,32.01039608,24456603.89,1.3671875,559.0759322,2.921854338,0.08480683,0.256607205,1.018312683,1.963729458,1.31466762,0.009886989,580.2318174,1.3e-05,1.483333333,1.35,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
87.79135926,87.79135926,720.4703833,751.4285714,123.5222365,128.6487128,128.6479572,65,41,0.802469136,0.50617284,0.171446654,15257.7429,550.0,0.000957429,0.005732079,0.006689509,0.167030027,0.143124018,0.856875967,0.3125,4.115151831,0.007041174,0.009221793,407.5455939,6.850452053,1.908346111,0.437364709,0.067307526,12286711.27,8702.108282,3521.849593,1378.430927,1398.295248,0.145712855,0.383156962,0.361519905,1.145246736,2.453600972,1.116940391,0.068447856,0.786894939,0.073571139,8.945724571,0.039027048,0.3913305,0.029282042,39.01611703,-0.008077426,0.099282088,-1.028452307,17.07624116,-65.45340129,64.61570916,85.6635405,0.738732143,0.153679861,22.78268465,10.66538977,291.5980121,17.10718347,-0.189969555,-0.172923355,26.78354643,12291540.5,1.3671875,271.675682,2.432611938,0.049987181,0.200825062,1.002953379,1.823328733,1.412361823,0.009856933,291.5980121,1.51e-05,1.383333333,1.35,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
98.04796137,98.04796137,664.3809524,710.7142857,158.786755,170.0138252,169.9744312,76,64,0.853932584,0.719101124,0.23899956,25213.23356,635.7142857,0.002944026,0.00299294,0.005936966,0.983656837,0.495880547,0.504119436,0.125,4.030821506,0.010185057,0.01470311,403.0332631,8.471043538,2.388393728,0.608105595,0.235423173,20553716.11,46997.95478,15987.02129,6959.479834,3494.027099,0.157862048,0.445923355,0.373741211,1.147576211,2.405065294,1.113595181,0.071450509,0.780844394,0.087188284,10.49681081,0.045288022,0.395078047,0.04257359,26.29295406,-0.007678763,0.098947336,-0.900250448,22.13937742,-65.46653487,64.81495777,91.62821602,0.720574913,0.218548638,31.89382919,17.15424064,490.1520327,22.15767324,-0.059002953,0.019072317,31.68741071,20620424.31,1.3671875,477.7203498,2.99054651,0.070570371,0.268233831,1.011744657,1.957152331,1.330686746,0.009790575,490.1520327,7.35e-06,1.516666667,1.383333333,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
102.1592663,102.1592663,650.2982732,688.5714286,178.2492562,202.8304811,202.8092232,81,66,0.9,0.733333333,0.274103844,31772.79733,695.7142857,0.002123241,0.00273598,0.004859221,0.776044119,0.436950924,0.563049055,1.0625,4.408325054,0.015417556,0.015611409,384.2699574,9.063056112,2.42187045,0.735093827,0.333792989,26060369.38,77112.90519,21882.79881,8817.903415,5809.978651,0.160552775,0.473158257,0.37961781,1.150159825,2.512496313,1.114016132,0.076627445,0.780203877,0.093958759,10.62818364,0.053287251,0.402400684,0.045507368,24.15800949,-0.004876164,0.097070771,-0.211160156,24.93617025,-65.47258738,64.81495777,97.49016047,0.688272425,0.209396733,36.36023059,18.60872707,621.8125865,24.93706428,-0.123498432,-0.228916133,35.26508924,26118001.36,1.3671875,604.8264872,3.148592786,0.082097964,0.282149331,1.01781729,1.986005798,1.308730274,0.009422735,621.8125865,8.22e-06,1.533333333,1.45,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
97.21259952,97.21259952,680.1642036,737.1428571,179.4325281,218.2485727,218.2483445,76,62,0.88372093,0.720930233,0.263807662,32196.03215,997.1428571,0.00014022,0.001715236,0.001855456,0.081749756,0.075571782,0.924428164,0.5,3.668984828,0.019732122,0.034484134,388.6224,8.562337779,2.28863714,0.759959577,0.27435762,22225685.33,67272.77984,18139.85624,5784.967132,6313.452273,0.152222836,0.462040384,0.37922703,1.143705269,2.222701387,1.116329457,0.071746009,0.78086111,0.090901062,10.87358189,0.04826498,0.398187291,0.047033263,23.13922096,-0.00599832,0.097088047,-0.340993572,23.04671162,-65.47317641,64.81170829,92.14942467,0.734444444,0.257802407,32.4588321,18.82959053,531.1509163,23.04923411,-0.182168757,0.213078185,29.85622849,22313222.1,1.3671875,489.007024,3.144833007,0.084618946,0.289129243,1.017665814,2.043853998,1.293828972,0.009426089,531.1509163,6.36e-06,1.466666667,1.366666667,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
88.64553558,88.64553558,723.7108014,755.0,156.0892554,197.7860581,197.7576693,71,55,0.87654321,0.679012346,0.215679046,24363.85564,995.7142857,0.000300501,0.00240772,0.002708221,0.124807263,0.110958799,0.889041164,0.5625,4.488586722,0.006998773,0.006397098,389.6826277,7.275121975,2.223808131,0.66915634,0.182473906,17209935.53,39883.69024,12637.51369,4108.83643,4292.362078,0.148806277,0.441724806,0.374528808,1.142137997,2.410021461,1.122545263,0.06790183,0.78076212,0.08601679,10.78164757,0.040335738,0.394858438,0.045196216,23.94342682,-0.009439573,0.097104352,-0.438488681,20.21820726,-65.47317641,64.81170829,88.01802563,0.74915009,0.223601428,26.72041253,17.44507121,408.775905,20.22296164,-0.240769411,0.866355445,25.05503434,17176663.45,1.3671875,361.2639275,3.015541373,0.078190557,0.280511111,1.013132052,1.825769478,1.315500887,0.009429255,408.775905,9.32e-06,1.383333333,1.333333333,2,1,20.845752891957524,2.3746264660390803,0.1247148037282235,0.43410714285714347,1.3710262139197473,0.07437003816917082,-1.0343640029344994
